Name,Price,Brand,Url,Rated,Votes,Imgs,CPU,RAM,ManHinh,OCung,Card,HDH,KT&KL
"Laptop MSI Modern 15 B13M-297VN i7 1355U/16GB/512GB/15.6""FHD/Win 11",21290000,MSI,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-b13m-297vn-i7-1355u,5,1,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/9/638139833422414375_msi-modern-15-b13m-den-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/9/638139833422414375_msi-modern-15-b13m-den-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/9/638139833421474178_msi-modern-15-b13m-den-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/9/638139833422884340_msi-modern-15-b13m-den-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/9/638139833422099055_msi-modern-15-b13m-den-5.jpg']","Intel, Core i7, 1355U","16 GB (1 thanh 16 GB), LPDDR4, 3200 MHz","15.6 inch Chính:, FHD (1920 x 1080), IPS, 60 Hz, IPS Chính:",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,"359 x 241 x 19.9 mm, 1.7 kg"
"Laptop MSI Gaming GF63 Thin 11SC-666VN i5 11400H/8GB/512GB/15.6""FHD/GeForce GTX 1650 4GB/Win 11",16490000,MSI,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf63-thin-11sc-666vn-i5-11400h,4.9,58,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/8/7/637639340541330187_msi-gaming-gf63-den-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/8/7/637639340540705429_msi-gaming-gf63-den-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/8/7/637639340538048946_msi-gaming-gf63-den-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/8/7/637639340539455202_msi-gaming-gf63-den-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/8/7/637639340536799316_msi-gaming-gf63-den-5.jpg']","Intel, Core i5, 11400H","8 GB (1 thanh 8 GB), DDR4, 3200 MHz","15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 300 nits, Anti-glare LED-backlit",SSD 512 GB,NVIDIA GeForce GTX 1650 Max-Q 4GB; Intel UHD Graphics,Windows 11,"359 x 254 x 21.7 mm, 1.86 kg"
Laptop Dell Vostro V3510 i5 1135G7/8GB/512GB/15.6FHD/MX350 2GB/Win 11+Office HS21,18399000,Dell,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v3510-i5-1135g7?he-dieu-hanh=win-11,4.7,59,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/9/15/637673159667058488_dell-vostro-v3510-den-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/9/15/637673159675808439_dell-vostro-v3510-den-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/9/15/637673159655964731_dell-vostro-v3510-den-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/9/15/637673159645964799_dell-vostro-v3510-den-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/9/15/637673159675808439_dell-vostro-v3510-den-5.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/9/15/637673159645496109_dell-vostro-v3510-den-6.jpg']","Intel, Core i5, 1135G7","8 GB (1 thanh 8 GB), DDR4, 3200 MHz","15.6 inch, 1920 x 1080 Pixels, WVA, 60 Hz, 220 nits, WVA Anti-glare LED Backlit Narrow Border",SSD 512 GB,NVIDIA GeForce MX350 2GB; Intel Iris Xe Graphics,Windows 11 Home Single Language,"358.5 x 235 x 18.9 mm, 1.7 kg"
"Laptop Dell Inspiron 14 N5420 i5 1235U/8GB/256GB/14.0"" FHD/Win 11+Office HS 21",20990000,Dell,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-14-n5420-i5-1235u?dung-luong=256gb,4.9,132,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/9/30/638001307717810940_dell-inspiron-14-n5420-bac-a1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/9/30/638001307716248490_dell-inspiron-14-n5420-bac-a2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/9/30/638001307715936086_dell-inspiron-14-n5420-bac-a3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/9/30/638001307715936086_dell-inspiron-14-n5420-bac-a4.jpg']","Intel, Core i5, 1235U","8 GB (1 thanh 8 GB), DDR4, 3200 MHz","14.0 inch, 1920 x 1200 Pixels, WVA, 60 Hz, 250 nits, Anti-Glare",SSD 256 GB,Intel Iris Xe Graphics,Windows 11 Home,"314 x 227.5 x 15.7 mm, 1.55 kg"
"Laptop MSI Prestige 14EVO A11M-089VN i7 1185G7/16GB/512GB  SSD/14""FHD/UMA/Win10",25490000,MSI,https://fptshop.com.vn/may-tinh-xach-tay/msi-prestige-14evo-a11m-089vn-i7-1185g7,5,1,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/3/23/637521090997291526_msi-prestige-14evo-xam-1-evoi7.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2020/12/31/637450236700768571_msi-prestige-14evo-xam-2.png', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2020/12/31/637450236699987297_msi-prestige-14evo-xam-3.png', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2020/12/31/637450236700456040_msi-prestige-14evo-xam-4.png', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2020/12/31/637450236700768571_msi-prestige-14evo-xam-5.png']","Intel, Core i7, 1185G7","16 GB, LPDDR4","14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 300 nits",SSD 512 GB,Intel Iris Xe Graphics,Windows 10 Home Single Language,"319 x 219 x 15.9 mm, 1.29 kg"
Laptop HP 240 G9 i5 1235U/8GB/512GB/14.0''FHD/Win11,14990000,HP,https://fptshop.com.vn/may-tinh-xach-tay/hp-240-g9-i5-1235u-6l1y2pa,5,1,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/3/638134647807424561_hp-240-g9-bac-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/3/638134647806964476_hp-240-g9-bac-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/3/638134647807708258_hp-240-g9-bac-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/3/638134647806804899_hp-240-g9-bac-4.jpg']","Intel, Core i5, 1235U","8 GB (1 thanh 8 GB), DDR4, 3200 MHz","14.0 inch, 1920 x 1080 Pixels, IPS, Hãng không công bố, IPS",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,"32.4 x 22.59 x 1.99 (W x D x H) cm, 1.41 kg"
"Laptop Asus Zenbook UX3402ZA-KM218W i5 1240P/8GB/512GB/14.0""OLED WQXGA/Win 11",22990000,Asus,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-ux3402za-km218w-i5-1240p,4.9,103,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/6/27/637919255355664010_asus-zenbook-ux3402-xanh-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/6/27/637919255355507776_asus-zenbook-ux3402-xanh-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/6/27/637919255355664010_asus-zenbook-ux3402-xanh-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/6/27/637919255355351583_asus-zenbook-ux3402-xanh-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/6/27/637919255355820357_asus-zenbook-ux3402-xanh-5.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/6/27/637919255355664010_asus-zenbook-ux3402-xanh-6.jpg']","Intel, Core i5, 1240P","8 GB, DDR5, 4800 MHz","14.0 inch, 2880 x 1800 Pixels, 90 Hz, 400 nits, OLED",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,"313.6 x 220.6 x 16.9 mm, 1.39 kg"
Laptop Asus Zenbook UX325EA-KG656W i5 1135G7/8GB/512GB SSD/13.3''FHD OLED/Win11,18490000,Asus,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-ux325ea-kg656w-i5-1135g7,4.9,248,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/3/638110382410069111_asus-zenbook-ux325-xam-oled-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/8/3/637635861841001721_asus-zenbook-ux325-xam-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/8/3/637635861846001773_asus-zenbook-ux325-xam-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/8/3/637635861840377168_asus-zenbook-ux325-xam-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/8/3/637635861845689407_asus-zenbook-ux325-xam-5.jpg']","Intel, Core i5, 1135G7","8 GB, LPDDR4, 4267 MHz","13.3 inch, 1920 x 1080 Pixels, OLED, 60 Hz, 500 nits, OLED",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,"304.1 x 203 x 13.9 mm, 1.1 kg"
"Laptop MSI GF63 Thin 11UC-444VN i5 11400H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win10/Balo",18990000,MSI,https://fptshop.com.vn/may-tinh-xach-tay/msi-gf63-thin-11uc-444vn-i5-11400h,4.9,266,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/1/26/637788084554069739_msi-gf63-thin-den-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/1/26/637788084553601137_msi-gf63-thin-den-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/1/26/637788084553601137_msi-gf63-thin-den-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/1/26/637788084553757589_msi-gf63-thin-den-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/1/26/637788084553132269_msi-gf63-thin-den-5.jpg']","Intel, Core i5, 11400H","8 GB, DDR4, 3200 MHz","15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 300 nits, IPS LCD LED Backlit, True Tone",SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,Windows 11 Home Single Language,"359 x 254 x 21.7 mm, 1.86 kg"
"Laptop Asus Vivobook A1405VA-KM059W i5 13500H/8GB/512GB/14"" OLED WQXGA+/Win11",18990000,Asus,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a1405va-km059w-i5-13500h,5,1,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/17/638146645984737684_asus-vivobook-a1405-den-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/17/638146645984534684_asus-vivobook-a1405-den-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/17/638146645984171423_asus-vivobook-a1405-den-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/17/638146645984534684_asus-vivobook-a1405-den-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/17/638146645984012731_asus-vivobook-a1405-den-5.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/17/638146645984273746_asus-vivobook-a1405-den-6.jpg']","Intel, Core i5, 13500H","8 GB (1 thanh 8 GB), DDR4, 3200 MHz","14.0 inch Chính:, 2880 x 1800 Pixels, OLED, 90 Hz, 600 nits, OLED Chính:",SSD 512 GB,Intel UHD Graphics,Windows 11 Home,"31.71 x 22.20 x 1.99 ~ 1.99 cm, 1.6 kg"
"Laptop Acer Nitro Gaming AN515-58-79UJ i7 12700H/16GB/512GB/15.6""FHD/GeForce RTX 3060 6GB/Win 11",35990000,Acer,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-58-79uj-i7-12700h,4.9,34,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/1/637817435466475076_acer-nitro-gaming-an515-58-den-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/1/637817435459912672_acer-nitro-gaming-an515-58-den-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/1/637817435465226004_acer-nitro-gaming-an515-58-den-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/1/637817435462881696_acer-nitro-gaming-an515-58-den-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/1/637817435460381731_acer-nitro-gaming-an515-58-den-5.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/1/637817435459600384_acer-nitro-gaming-an515-58-den-6.jpg']","Intel, Core i7, 12700H","16 MB (2 thanh 8 GB), DDR5, 4800 MHz","15.6 inch, 1920 x 1080 Pixels, IPS, 165 Hz, Acer ComfyView LED-backlit",SSD 512 GB,NVIDIA GeForce RTX 3060 6GB; Intel Iris Xe Graphics,Windows 11 Home Single Language,"360.4 x 271.09 x 25.9 mm, 2.5 kg"
"Laptop Asus Vivobook A1403ZA-LY153W i3 1220P/8GB/512GB/14""WUXGA/Win 11",13990000,Asus,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a1403za-ly153w-i3-1220p,4.9,99,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/8/3/637951464033323275_asus-vivobook-a1403-xanh-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/8/3/637951464031760835_asus-vivobook-a1403-xanh-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/8/3/637951464029729627_asus-vivobook-a1403-xanh-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/8/3/637951464031604561_asus-vivobook-a1403-xanh-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/8/3/637951464031760835_asus-vivobook-a1403-xanh-5.jpg']","Intel, Core i3, 1220P","8 GB (1 thanh 8 GB), DDR4, 3200 MHz","14.0 inch, 1920 x 1200 Pixels, IPS, 60 Hz, 300 nits, LED Backlit",SSD 512 GB,Intel UHD Graphics,Windows 11 Home,"317.1 x 222 x 19.9 mm, 1.60 kg"
"Laptop HP Spectre x360 14-ef0030TU i7 1255U/16GB/1TB/13.5""Touch/Win 11",46990000,HP,https://fptshop.com.vn/may-tinh-xach-tay/hp-spectre-x360-14-ef0030tu-i7-1255u,5,1,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/10/11/638010934975899876_hp-spectre-x360-14-xanh-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/10/11/638010934974348082_hp-spectre-x360-14-xanh-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/10/11/638010934974015037_hp-spectre-x360-14-xanh-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/10/11/638010934975354365_hp-spectre-x360-14-xanh-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/10/11/638010934972036482_hp-spectre-x360-14-xanh-5.jpg']","Intel, Core i7, 1255U","16 GB (2 thanh 8 GB), LPDDR4, 4266 MHz","13.5 inch, 3200 x 1800 Pixels, OLED, 60 Hz, 500 nits, OLED",SSD 1 TB,Intel Iris Xe Graphics,Windows 11 Home Single Language,"298 x 220,4 x 16,9 cm, 1.36 kg"
"Laptop HP Envy 13 ba1537TU i5 1135G7/8GB/256GB/13.3""FHD/Win 10",17890000,HP,https://fptshop.com.vn/may-tinh-xach-tay/hp-envy-13-ba1537tu-i5-1135g7?he-dieu-hanh=win-10,4.9,108,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2020/9/18/637360388031305676_637320742814213728_hp-envy-13-ba0046tu-vang-1.png', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2020/9/18/637360388031265687_637320742812293783_hp-envy-13-ba0046tu-vang-2.png', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2020/9/18/637360388031355695_637320742812134144_hp-envy-13-ba0046tu-vang-3.png', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2020/9/18/637360388031185685_637320742811863826_hp-envy-13-ba0046tu-vang-4.png', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2020/9/18/637360388031195721_637320742811893719_hp-envy-13-ba0046tu-vang-5.png']","Intel, Core i5, 1135G7","8 GB, DDR4, 3200 MHz","13.3 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 400 nits",SSD 256 GB,Intel Iris Xe Graphics,Windows 10 Home Single Language,"16.9 x 306 x 194.5 mm, 1.23 kg"
Laptop MacBook Pro 16 2023 M2 Pro 12CPU 19GPU 16GB/512GB,65990000,Apple (MacBook),https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-16-2023-m2-pro-12cpu-19gpu?dung-luong=512gb,5,1,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/1/18/638096365586236783_macbook-pro-16-2023-m2-pro-bac-8.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/1/18/638096365586236783_macbook-pro-16-2023-m2-pro-bac-7.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/1/18/638096365585766755_macbook-pro-16-2023-m2-pro-bac-9.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/1/18/638096365589720788_macbook-pro-16-2023-m2-pro-bac-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/1/18/638096365590488079_macbook-pro-16-2023-m2-pro-bac-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/1/18/638096365586236783_macbook-pro-16-2023-m2-pro-bac-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/1/18/638096365587016763_macbook-pro-16-2023-m2-pro-bac-6.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/1/18/638096365587335487_macbook-pro-16-2023-m2-pro-bac-5.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/1/18/638096365589150774_macbook-pro-16-2023-m2-pro-bac-3.jpg']","Apple, M2 Pro, 12-Core","16 GB (1 thanh 16 GB), Hãng không công bố, Hãng không công bố","16.2 inch, 3456 x 2234 Pixels, OLED, 120 Hz, 1000 nits, Retina",SSD 512 GB,Apple M2 Pro 19-core GPU,Ventura,"35.57 x 24.81 x 1.68 cm, 2.15 kg"
Laptop Acer Nitro Gaming AN515-45-R0B6 R7 5800H/8GB/512GB/15.6''FHD/NVIDIA GeForce RTX 3060 6GB/Win10,25990000,Acer,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-45-r0b6-r7-5800h,5,1,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/4/27/637551194372526227_acer-nitro-gaming-an515-45-den-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/4/27/637551194372214026_acer-nitro-gaming-an515-45-den-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/4/27/637551194371744921_acer-nitro-gaming-an515-45-den-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/4/27/637551194371901423_acer-nitro-gaming-an515-45-den-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/4/27/637551194371744921_acer-nitro-gaming-an515-45-den-5.jpg']","AMD, Ryzen 7, 5800H","8 GB, DDR4, 3200 MHz","15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, IPS LCD LED Backlit, True Tone",SSD 512 GB,NVIDIA GeForce RTX 3060 6GB; AMD Radeon Graphics,Windows 10 Home,"363.4 x 255 x 23.9 mm, 2.2 kg"
"Laptop Asus Expertbook B1500CEAE-BQ2234W i5 1135G7/8GB/512GB/15.6""FHD/Win 11",15990000,Asus,https://fptshop.com.vn/may-tinh-xach-tay/asus-expertbook-b1500ceae-bq2234w-i5-1135g7,4.8,66,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/9/27/637998829688287259_asus-expertbook-b1500-den-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/9/27/637998829688287259_asus-expertbook-b1500-den-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/9/27/637998829687974726_asus-expertbook-b1500-den-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/9/27/637998829686882637_asus-expertbook-b1500-den-4.jpg']","Intel, Core i5, 1135G7","8 GB (1 thanh 8 GB), DDR4, 3200 MHz","15.6 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 250 nits, FHD",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,"358 x 236.5 x 19.4 mm, 1705"
